,disease,drug
131,Actinomycosis,penicillin g potassium
132,"Asthma, acute",albuterol
133,"Asthma, acute",prednisolone
134,"Asthma, acute",methylprednisolone
135,"Asthma, acute",epinephrine
136,"Asthma, acute",hydrocortisone
137,"Asthma, acute",theophylline
138,"Asthma, acute",dexamethasone
139,"Asthma, acute",levalbuterol
140,"Asthma, acute",terbutaline
141,Urinary Tract Infection,ciprofloxacin
142,Urinary Tract Infection,nitrofurantoin
143,Urinary Tract Infection,sulfamethoxazole / trimethoprim
144,Urinary Tract Infection,amoxicillin
145,Urinary Tract Infection,doxycycline
146,Urinary Tract Infection,levofloxacin
147,Urinary Tract Infection,ceftriaxone
148,Urinary Tract Infection,amoxicillin / clavulanate
149,Urinary Tract Infection,cefuroxime
150,Urinary Tract Infection,trimethoprim
151,Urinary Tract Infection,methenamine
152,Urinary Tract Infection,ampicillin
153,Acute Lymphocytic Leukemia,prednisone
154,Acute Lymphocytic Leukemia,vincristine
155,Acute Lymphocytic Leukemia,cyclophosphamide
156,Acute Lymphocytic Leukemia,methotrexate
157,Acute Lymphocytic Leukemia,asparaginase escherichia coli
158,Acute Lymphocytic Leukemia,daunorubicin
159,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
160,Acute Lymphocytic Leukemia,teniposide
161,Acute Coronary Syndrome,clopidogrel
162,Acute Coronary Syndrome,ticagrelor
163,Acute Coronary Syndrome,prasugrel
164,Acute Coronary Syndrome,enoxaparin
165,Acute Coronary Syndrome,eptifibatide
166,Acute Coronary Syndrome,tirofiban
167,"Acute Coronary Syndrome, Prophylaxis",clopidogrel
168,Glomerulonephritis,azathioprine
169,Glomerulonephritis,penicillin g benzathine
170,Acute Myeloid Leukemia,cytarabine
171,Acute Myeloid Leukemia,vincristine
172,Acute Myeloid Leukemia,daunorubicin
173,Acute Myeloid Leukemia,idarubicin
174,Acute Myeloid Leukemia,decitabine
175,Acute Myeloid Leukemia,gemtuzumab
176,Acute Myeloid Leukemia,midostaurin
177,Acute Myeloid Leukemia,venetoclax
178,Acute Myeloid Leukemia,enasidenib
179,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
180,Acute Myeloid Leukemia,ivosidenib
181,Acute Myeloid Leukemia,gilteritinib
182,Acute Myeloid Leukemia,glasdegib
183,HIV Infection,lamivudine
184,HIV Infection,efavirenz / emtricitabine / tenofovir
185,HIV Infection,ritonavir
186,HIV Infection,emtricitabine / tenofovir
187,HIV Infection,tenofovir
188,HIV Infection,abacavir
189,Porphyria,chlorpromazine
190,Porphyria,hemin
191,Porphyria,givosiran
192,Acute Lymphoblastic Leukemia,methotrexate
193,Acute Lymphoblastic Leukemia,mercaptopurine
194,Acute Lymphoblastic Leukemia,dasatinib
195,Acute Lymphoblastic Leukemia,pegaspargase
196,Acute Lymphoblastic Leukemia,doxorubicin
197,Acute Lymphoblastic Leukemia,imatinib
198,Acute Lymphoblastic Leukemia,asparaginase erwinia chrysanthemi
199,Acute Lymphoblastic Leukemia,ponatinib
200,Acute Lymphoblastic Leukemia,vincristine liposome
201,Acute Lymphoblastic Leukemia,blinatumomab
202,Acute Lymphocytic Leukemia,prednisone
203,Acute Lymphocytic Leukemia,vincristine
204,Acute Lymphocytic Leukemia,cyclophosphamide
205,Acute Lymphocytic Leukemia,methotrexate
206,Acute Lymphocytic Leukemia,asparaginase escherichia coli
207,Acute Lymphocytic Leukemia,daunorubicin
208,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
209,Acute Lymphocytic Leukemia,teniposide
210,Acute Myeloblastic Leukemia,doxorubicin
211,Acute Myeloid Leukemia,cytarabine
212,Acute Myeloid Leukemia,vincristine
213,Acute Myeloid Leukemia,daunorubicin
214,Acute Myeloid Leukemia,idarubicin
215,Acute Myeloid Leukemia,decitabine
216,Acute Myeloid Leukemia,gemtuzumab
217,Acute Myeloid Leukemia,midostaurin
218,Acute Myeloid Leukemia,venetoclax
219,Acute Myeloid Leukemia,enasidenib
220,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
221,Acute Myeloid Leukemia,ivosidenib
222,Acute Myeloid Leukemia,gilteritinib
223,Acute Myeloid Leukemia,glasdegib
224,Acute Myeloid Leukemia,cytarabine
225,Acute Myeloid Leukemia,vincristine
226,Acute Myeloid Leukemia,daunorubicin
227,Acute Myeloid Leukemia,idarubicin
228,Acute Myeloid Leukemia,decitabine
229,Acute Myeloid Leukemia,gemtuzumab
230,Acute Myeloid Leukemia,midostaurin
231,Acute Myeloid Leukemia,venetoclax
232,Acute Myeloid Leukemia,enasidenib
233,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
234,Acute Myeloid Leukemia,ivosidenib
235,Acute Myeloid Leukemia,gilteritinib
236,Acute Myeloid Leukemia,glasdegib
237,Acute Nonlymphocytic Leukemia,isotretinoin
238,Acute Nonlymphocytic Leukemia,methotrexate
239,Acute Nonlymphocytic Leukemia,thioguanine
240,Acute Nonlymphocytic Leukemia,mitoxantrone
241,Acute Nonlymphocytic Leukemia,cyclophosphamide
242,Acute Nonlymphocytic Leukemia,daunorubicin
243,Acute Nonlymphocytic Leukemia,cytarabine
244,Acute Otitis Externa,ofloxacin
245,Acute Otitis Externa,ciprofloxacin
246,Acute Otitis Externa,ciprofloxacin / hydrocortisone
247,Acute Otitis Externa,dexamethasone
248,Acute Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
249,Acute Promyelocytic Leukemia,tretinoin
250,Acute Promyelocytic Leukemia,arsenic trioxide
251,Respiratory Distress Syndrome,beractant
252,Respiratory Distress Syndrome,poractant
253,Respiratory Distress Syndrome,calfactant
254,HIV Infection,lamivudine
255,HIV Infection,efavirenz / emtricitabine / tenofovir
256,HIV Infection,ritonavir
257,HIV Infection,emtricitabine / tenofovir
258,HIV Infection,tenofovir
259,HIV Infection,abacavir
260,Sinusitis,amoxicillin
261,Sinusitis,prednisone
262,Sinusitis,amoxicillin / clavulanate
263,Sinusitis,cefdinir
264,Sinusitis,azithromycin
265,Sinusitis,levofloxacin
266,Sinusitis,cefuroxime
267,Sinusitis,clarithromycin
268,Sinusitis,ciprofloxacin
269,Sinusitis,clindamycin
270,Sinusitis,sulfamethoxazole / trimethoprim
271,Sinusitis,moxifloxacin
272,Anxiety and Stress,sertraline
273,Anxiety and Stress,citalopram
274,Anxiety and Stress,fluoxetine
275,Anxiety and Stress,amitriptyline
276,Anxiety and Stress,venlafaxine
277,Anxiety and Stress,paroxetine
278,Anxiety and Stress,prazosin
279,Anxiety and Stress,fluvoxamine
280,Adenosine Deaminase Deficiency,pegademase bovine
281,Adenosine Deaminase Deficiency,elapegademase
282,Adams-Stokes Syndrome,epinephrine
283,Adams-Stokes Syndrome,ephedrine
284,Adams-Stokes Syndrome,isoproterenol
285,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
286,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
287,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
288,ADHD (Attention Deficit Hyperactivity Disorder),clonidine
289,ADHD (Attention Deficit Hyperactivity Disorder),bupropion
290,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
291,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
292,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
293,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
294,Addison's Disease,hydrocortisone
295,Addison's Disease,fludrocortisone
296,Addison's Disease,dexamethasone
297,Renal Cell Carcinoma,pazopanib
298,Renal Cell Carcinoma,sunitinib
299,Renal Cell Carcinoma,axitinib
300,Renal Cell Carcinoma,nivolumab
301,Renal Cell Carcinoma,sorafenib
302,Renal Cell Carcinoma,everolimus
303,Renal Cell Carcinoma,bevacizumab
304,Renal Cell Carcinoma,cabozantinib
305,Renal Cell Carcinoma,medroxyprogesterone
306,Renal Cell Carcinoma,aldesleukin
307,Renal Cell Carcinoma,capecitabine
308,Renal Cell Carcinoma,temsirolimus
309,Renal Cell Carcinoma,lenvatinib
310,Adenosine Deaminase Deficiency,pegademase bovine
311,Adenosine Deaminase Deficiency,elapegademase
312,Adenovirus Prophylaxis,adenovirus vaccine
313,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
314,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
315,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
316,ADHD (Attention Deficit Hyperactivity Disorder),clonidine
317,ADHD (Attention Deficit Hyperactivity Disorder),bupropion
318,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
319,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
320,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
321,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
322,Frozen Shoulder,diclofenac
323,Frozen Shoulder,ibuprofen
324,Frozen Shoulder,naproxen
325,Frozen Shoulder,nabumetone
326,Frozen Shoulder,piroxicam
327,Frozen Shoulder,indomethacin
328,Frozen Shoulder,triamcinolone
329,Dercum's Disease,fentanyl
330,Dercum's Disease,pregabalin
331,Adjunct to Antibiotic Therapy,probenecid
332,Polycystic Kidney Disease,enalapril
333,Polycystic Kidney Disease,lisinopril
334,Polycystic Kidney Disease,captopril
335,Adrenal Cortical Carcinoma,mitotane
336,Adrenal Insufficiency,dexamethasone
337,Adrenal Insufficiency,cortisone
338,Adrenal Insufficiency,dexamethasone
339,Adrenal Insufficiency,cortisone
340,Adrenal Insufficiency,dexamethasone
341,Adrenal Insufficiency,cortisone
342,Adrenal Insufficiency,dexamethasone
343,Adrenal Insufficiency,cortisone
344,Adrenocortical Insufficiency,hydrocortisone
345,Adrenocortical Insufficiency,prednisone
346,Adrenocortical Insufficiency,dexamethasone
347,Adrenocortical Insufficiency,triamcinolone
348,Adrenocortical Insufficiency,cosyntropin
349,Adrenogenital Syndrome,fludrocortisone
350,Adrenogenital Syndrome,prednisone
351,Adrenogenital Syndrome,dexamethasone
352,Adrenogenital Syndrome,methylprednisolone
353,Adult Human Growth Hormone Deficiency,somatropin
354,Still's Disease,anakinra
355,Still's Disease,tocilizumab
356,Still's Disease,etanercept
357,Still's Disease,anakinra
358,Still's Disease,tocilizumab
359,Still's Disease,etanercept
360,Atrial Fibrillation,digoxin
361,Atrial Fibrillation,metoprolol
362,Atrial Fibrillation,diltiazem
363,Atrial Fibrillation,flecainide
364,Atrial Fibrillation,sotalol
365,Atrial Fibrillation,carvedilol
366,Atrial Fibrillation,propafenone
367,Atrial Fibrillation,rivaroxaban
368,Atrial Fibrillation,dronedarone
369,Atrial Fibrillation,clonidine
370,Atrial Fibrillation,propranolol
371,Atrial Fibrillation,digoxin
372,Atrial Fibrillation,metoprolol
373,Atrial Fibrillation,diltiazem
374,Atrial Fibrillation,flecainide
375,Atrial Fibrillation,sotalol
376,Atrial Fibrillation,carvedilol
377,Atrial Fibrillation,propafenone
378,Atrial Fibrillation,rivaroxaban
379,Atrial Fibrillation,dronedarone
380,Atrial Fibrillation,clonidine
381,Atrial Fibrillation,propranolol
382,Trypanosomiasis,pentamidine
383,Trypanosomiasis,benznidazole
384,Aggressive Behavior,haloperidol
385,Agitated State,aripiprazole
386,Agitated State,olanzapine
387,Agitated State,loxapine
388,Agitation,risperidone
389,Agitation,olanzapine
390,Agitation,citalopram
391,Agitation,amitriptyline / perphenazine
392,Agitation,loxapine
393,Myelofibrosis,ruxolitinib
394,Myelofibrosis,fedratinib
395,Agoraphobia,fluoxetine
396,Neutropenia,filgrastim
397,HIV Infection,lamivudine
398,HIV Infection,efavirenz / emtricitabine / tenofovir
399,HIV Infection,ritonavir
400,HIV Infection,emtricitabine / tenofovir
401,HIV Infection,tenofovir
402,HIV Infection,abacavir
403,AIDS Related Wasting,dronabinol
404,AIDS Related Wasting,megestrol
405,AIDS Related Wasting,somatropin
406,AIDS Related Wasting,dronabinol
407,AIDS Related Wasting,megestrol
408,AIDS Related Wasting,somatropin
409,AIDS Related Wasting,dronabinol
410,AIDS Related Wasting,megestrol
411,AIDS Related Wasting,somatropin
412,HIV Infection,lamivudine
413,HIV Infection,efavirenz / emtricitabine / tenofovir
414,HIV Infection,ritonavir
415,HIV Infection,emtricitabine / tenofovir
416,HIV Infection,tenofovir
417,HIV Infection,abacavir
418,Akathisia,propranolol
419,Alcohol Dependence,naltrexone
420,Alcohol Dependence,acamprosate
421,Alcohol Dependence,disulfiram
422,Alcohol Dependence,ondansetron
423,Alcoholism,gabapentin enacarbil
424,Alcohol Withdrawal,gabapentin
425,Alcohol Withdrawal,baclofen
426,Alcohol Withdrawal,chlordiazepoxide
427,Alcohol Withdrawal,diazepam
428,Alcohol Withdrawal,clonidine
429,Alcohol Withdrawal,atenolol
430,Alcohol Withdrawal,oxazepam
431,Alcohol Withdrawal,clorazepate
432,Alcohol Withdrawal,gabapentin
433,Alcohol Withdrawal,baclofen
434,Alcohol Withdrawal,chlordiazepoxide
435,Alcohol Withdrawal,diazepam
436,Alcohol Withdrawal,clonidine
437,Alcohol Withdrawal,atenolol
438,Alcohol Withdrawal,oxazepam
439,Alcohol Withdrawal,clorazepate
440,Alcoholic Liver Damage,propylthiouracil
441,Alcoholic Liver Damage,oxandrolone
442,Alcoholic Liver Damage,propylthiouracil
443,Alcoholic Liver Damage,oxandrolone
444,Alcoholic Liver Damage,propylthiouracil
445,Alcoholic Liver Damage,oxandrolone
446,Alcoholism,gabapentin enacarbil
447,Vaginal pH Imbalance,hydroxyquinoline
448,Alkalosis,ammonium chloride
449,Alkalosis,ammonium chloride
450,Alkylating Agent Cystitis,sodium bicarbonate
451,Alkylating Agent Cystitis,citric acid / sodium citrate
452,Acute Lymphocytic Leukemia,prednisone
453,Acute Lymphocytic Leukemia,vincristine
454,Acute Lymphocytic Leukemia,cyclophosphamide
455,Acute Lymphocytic Leukemia,methotrexate
456,Acute Lymphocytic Leukemia,asparaginase escherichia coli
457,Acute Lymphocytic Leukemia,daunorubicin
458,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
459,Acute Lymphocytic Leukemia,teniposide
460,Allergic Asthma,terbutaline
461,Allergic Asthma,salmeterol
462,"Conjunctivitis, Allergic",ketotifen
463,"Conjunctivitis, Allergic",azelastine
464,"Conjunctivitis, Allergic",cromolyn
465,"Conjunctivitis, Allergic",prednisone
466,"Conjunctivitis, Allergic",prednisolone
467,"Conjunctivitis, Allergic",epinastine
468,"Conjunctivitis, Allergic",nedocromil
469,"Conjunctivitis, Allergic",bepotastine
470,"Conjunctivitis, Allergic",cetirizine
471,"Conjunctivitis, Allergic",alcaftadine
472,"Conjunctivitis, Allergic",carbinoxamine
473,"Conjunctivitis, Allergic",doxylamine
474,Atopic Dermatitis,triamcinolone
475,Atopic Dermatitis,clobetasol
476,Atopic Dermatitis,betamethasone
477,Atopic Dermatitis,fluocinonide
478,Atopic Dermatitis,hydrocortisone
479,Atopic Dermatitis,tacrolimus
480,Atopic Dermatitis,prednisone
481,Atopic Dermatitis,mometasone
482,Atopic Dermatitis,desonide
483,Atopic Dermatitis,fluocinolone
484,Atopic Dermatitis,desoximetasone
485,Atopic Dermatitis,fluticasone
486,Atopic Dermatitis,methylprednisolone
487,Atopic Dermatitis,dexamethasone
488,Atopic Dermatitis,azathioprine
489,Allergic Reactions,diphenhydramine
490,Allergic Reactions,prednisone
491,Allergic Reactions,loratadine
492,Allergic Reactions,epinephrine
493,Allergic Reactions,chlorpheniramine
494,Allergic Reactions,promethazine
495,Allergic Reactions,triamcinolone
496,Allergic Reactions,cyproheptadine
497,Allergic Reactions,diphenhydramine
498,Allergic Reactions,prednisone
499,Allergic Reactions,loratadine
500,Allergic Reactions,epinephrine
501,Allergic Reactions,chlorpheniramine
502,Allergic Reactions,promethazine
503,Allergic Reactions,triamcinolone
504,Allergic Reactions,cyproheptadine
505,Allergic Rhinitis,cetirizine
506,Allergic Rhinitis,loratadine
507,Allergic Rhinitis,fluticasone
508,Allergic Rhinitis,montelukast
509,Allergic Rhinitis,fexofenadine
510,Allergic Rhinitis,azelastine
511,Allergic Rhinitis,diphenhydramine
512,Allergic Rhinitis,prednisone
513,Allergic Rhinitis,levocetirizine
514,Allergic Urticaria,hydroxyzine
515,Allergic Urticaria,famotidine
516,Allergic Urticaria,triprolidine
517,Allergic Urticaria,carbinoxamine
518,Allergic Urticaria,tetracaine
519,Allergies,hydroxyzine
520,Allergies,levocetirizine
521,Allergies,loratadine
522,Allergies,doxylamine
523,Allergies,corticotropin
524,Allergies,triprolidine
525,Allergies,dexbrompheniramine
526,Allergies,chlorpheniramine / ibuprofen / phenylephrine
527,Allergies,dexbrompheniramine / phenylephrine
528,Allergies,hydroxyzine
529,Allergies,levocetirizine
530,Allergies,loratadine
531,Allergies,doxylamine
532,Allergies,corticotropin
533,Allergies,triprolidine
534,Allergies,dexbrompheniramine
535,Allergies,chlorpheniramine / ibuprofen / phenylephrine
536,Allergies,dexbrompheniramine / phenylephrine
537,Alopecia,spironolactone
538,Alopecia,minoxidil
539,Alopecia,triamcinolone
540,Alopecia,sulfasalazine
541,Alopecia,spironolactone
542,Alopecia,minoxidil
543,Alopecia,triamcinolone
544,Alopecia,sulfasalazine
545,Thalassemia,hydroxyurea
546,Thalassemia,deferasirox
547,Thalassemia,deferiprone
548,Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
549,Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
550,Alport Syndrome,lisinopril
551,Alport Syndrome,losartan
552,Alport Syndrome,enalapril
553,Alport Syndrome,fosinopril
554,Alport Syndrome,candesartan
555,Alport Syndrome,quinapril
556,Amyotrophic Lateral Sclerosis,riluzole
557,Amyotrophic Lateral Sclerosis,edaravone
558,Soft Tissue Sarcoma,pazopanib
559,Soft Tissue Sarcoma,doxorubicin
560,Soft Tissue Sarcoma,methotrexate
561,Soft Tissue Sarcoma,trabectedin
562,Soft Tissue Sarcoma,olaratumab
563,Alzheimer's Disease,donepezil
564,Alzheimer's Disease,memantine
565,Alzheimer's Disease,galantamine
566,Alzheimer's Disease,rivastigmine
567,Alzheimer's Disease,vitamin e
568,Alzheimer's Disease,donepezil / memantine
569,Alzheimer's Disease,ergoloid mesylates
570,Alzheimer's Disease,etanercept
571,Amebiasis,metronidazole
572,Amebiasis,tinidazole
573,Amebiasis,nitazoxanide
574,Amebiasis,doxycycline
575,Amebiasis,paromomycin
576,Amebiasis,chloroquine
577,Amebiasis,metronidazole
578,Amebiasis,tinidazole
579,Amebiasis,nitazoxanide
580,Amebiasis,doxycycline
581,Amebiasis,paromomycin
582,Amebiasis,chloroquine
583,Amenorrhea,medroxyprogesterone
584,Amenorrhea,progesterone
585,Amenorrhea,norethindrone
586,Amenorrhea,medroxyprogesterone
587,Amenorrhea,progesterone
588,Amenorrhea,norethindrone
589,Amenorrhea,medroxyprogesterone
590,Amenorrhea,progesterone
591,Amenorrhea,norethindrone
592,Trypanosomiasis,pentamidine
593,Trypanosomiasis,benznidazole
594,Acute Myeloid Leukemia,cytarabine
595,Acute Myeloid Leukemia,vincristine
596,Acute Myeloid Leukemia,daunorubicin
597,Acute Myeloid Leukemia,idarubicin
598,Acute Myeloid Leukemia,decitabine
599,Acute Myeloid Leukemia,gemtuzumab
600,Acute Myeloid Leukemia,midostaurin
601,Acute Myeloid Leukemia,venetoclax
602,Acute Myeloid Leukemia,enasidenib
603,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
604,Acute Myeloid Leukemia,ivosidenib
605,Acute Myeloid Leukemia,gilteritinib
606,Acute Myeloid Leukemia,glasdegib
607,Amebiasis,metronidazole
608,Amebiasis,tinidazole
609,Amebiasis,nitazoxanide
610,Amebiasis,doxycycline
611,Amebiasis,paromomycin
612,Amebiasis,chloroquine
613,Amyloid Cardiomyopathy,tafamidis
614,Amyloidogenic Transthyretin Amyloidosis,inotersen
615,Amyloidogenic Transthyretin Amyloidosis,patisiran
616,Amyloidosis,colchicine
617,Amyloidosis,colchicine
618,Amyloidosis,colchicine
619,Amyotrophic Lateral Sclerosis,riluzole
620,Amyotrophic Lateral Sclerosis,edaravone
621,Aspiration Pneumonia,prednisone
622,Aspiration Pneumonia,clindamycin
623,Aspiration Pneumonia,amoxicillin / clavulanate
624,Aspiration Pneumonia,metronidazole
625,Aspiration Pneumonia,dexamethasone
626,Aspiration Pneumonia,lansoprazole
627,Aspiration Pneumonia,piperacillin / tazobactam
628,Aspiration Pneumonia,ampicillin / sulbactam
629,Aspiration Pneumonia,cefoxitin
630,Aspiration Pneumonia,cilastatin / imipenem
631,Anal Cancer,capecitabine
632,Anal Cancer,fluorouracil
633,Anal Cancer,mitomycin
634,Anal Cancer,cisplatin
635,Anal Fissure and Fistula,nitroglycerin
636,Anal Fissure and Fistula,nitroglycerin
637,Anal Fissure and Fistula,nitroglycerin
638,Fecal Incontinence,dextranomer / sodium hyaluronate
639,Anal Itching,hydrocortisone
640,Anal Itching,clobetasol
641,Anal Itching,lidocaine
642,Anal Itching,zinc oxide
643,Anal Itching,benzocaine
644,Anaphylaxis,epinephrine
645,Anaphylaxis,promethazine
646,Anaphylaxis,epinephrine
647,Anaphylaxis,promethazine
648,Anaphylaxis,epinephrine
649,Anaphylaxis,promethazine
650,Anaplastic Astrocytoma,temozolomide
651,Anaplastic Astrocytoma,procarbazine
652,Anaplastic Oligodendroglioma,temozolomide
653,Anaplastic Oligodendroglioma,vincristine
654,Anaplastic Oligodendroglioma,lomustine
655,Anaplastic Oligodendroglioma,procarbazine
656,Thyroid Cancer,thyroid desiccated
657,Thyroid Cancer,sodium iodide-i-131
658,Thyroid Cancer,sorafenib
659,Thyroid Cancer,lenvatinib
660,Thyroid Cancer,doxorubicin
661,Thyroid Cancer,cabozantinib
662,Thyroid Cancer,thyrotropin alpha
663,Thyroid Cancer,vandetanib
664,Thyroid Cancer,dabrafenib
665,Thyroid Cancer,trametinib
666,Hookworm Infection (Necator or Ancylostoma),mebendazole
667,Hookworm Infection (Necator or Ancylostoma),albendazole
668,Hookworm Infection (Necator or Ancylostoma),pyrantel
669,Cutaneous Larva Migrans,ivermectin
670,Cutaneous Larva Migrans,albendazole
671,Hookworm Infection (Necator or Ancylostoma),mebendazole
672,Hookworm Infection (Necator or Ancylostoma),albendazole
673,Hookworm Infection (Necator or Ancylostoma),pyrantel
674,Dercum's Disease,fentanyl
675,Dercum's Disease,pregabalin
676,Androgenetic Alopecia,finasteride
677,Androgenetic Alopecia,ketoconazole
678,Anemia,epoetin alfa
679,Anemia,multivitamin with iron
680,Anemia,pyridoxine
681,Anemia,oxymetholone
682,Anemia,lenalidomide
683,Anemia Associated with Chronic Renal Failure,ferrous sulfate
684,Anemia Associated with Chronic Renal Failure,epoetin alfa
685,Anemia Associated with Chronic Renal Failure,ferrous fumarate
686,Anemia Associated with Chronic Renal Failure,darbepoetin alfa
687,Anemia Associated with Chronic Renal Failure,ferrous gluconate
688,Anemia Associated with Chronic Renal Failure,epoetin beta-methoxy polyethylene glycol
689,Anemia Associated with Iron Deficiency,ferrous fumarate / folic acid
690,"Anemia, Drug Induced",epoetin alfa
691,Anemia Prior to Surgery,epoetin alfa
692,"Anemia, Chemotherapy Induced",epoetin alfa
693,"Anemia, Chemotherapy Induced",darbepoetin alfa
